Package	Version
usgs-r/dataRetrieval	2.5.10
usgs-r/DVstats	0.3.3
usgs-r/EflowStats	4.1.0
usgs-r/EGRET	2.5.3
usgs-r/EGRETci	1.0.3
usgs-r/EGRETextra	0.0.2
usgs-r/geoknife	1.3.2
GLEON/GLMr	3.1.13
usgs-r/glmtools	0.14.3
usgs-r/gsIntroR	0.1.2
usgs-r/gsplot	0.5.4
usgs-r/GSqwsr	1.2.0
usgs-r/hazardItems	2.0.8
usgs-r/hydroMap	0.1.1
usgs-r/mda.streams	0.9.6.3
usgs-r/powstreams	0.8.0
usgs-r/restrend	0.4.1
usgs-r/rloadest	0.4.3
usgs-r/SampleSplitting	1.0.4
usgs-r/sbtools	1.0.2
usgs-r/sensorQC	0.4.0
usgs-r/smwrBase	1.1.2
usgs-r/smwrData	1.1.1
usgs-r/smwrGraphs	1.1.1
usgs-r/smwrQW	0.7.10
usgs-r/smwrStats	0.7.5
usgs-r/streamMetabolizer	0.9.5.1
usgs-r/toxEval	0.1.2
appling/unitted	0.2.5
usgs-r/USGSHydroOpt	1.0.1
usgs-r/wateRuse	1.0.0
usgs-r/WQ-Review	1.0.0
usgs-r/wrv	1.0.1
