package	tag
usgs-r/dataRetrieval	v2.6.1
usgs-r/EGRET	2.6.0
usgs-r/sbtools	v1.0.2
usgs-r/geoknife	v1.3.5
usgs-r/streamMetabolizer	v0.9.15
usgs-r/mda.streams	v0.9.12
usgs-r/USGSHydroOpt	v1.0.1
usgs-r/smwrData	v1.1.1
usgs-r/hazardItems	v2.0.8
usgs-r/EflowStats	v4.1.1
usgs-r/sensorQC	v0.4.0
GLEON/GLMr	v3.1.14
USGS-R/EGRETci	v1.0.3
usgs-r/smwrBase	v1.1.2
usgs-r/smwrGraphs	v1.1.1
usgs-r/glmtools	v0.14.3
usgs-r/powstreams	v0.8.0
usgs-r/smwrStats	v0.7.5
usgs-r/smwrQW	0.7.10
usgs-r/GSqwsr	1.2.0
usgs-r/rloadest	v0.4.3
usgs-r/gsplot	v0.5.4
usgs-r/gsIntroR	v0.1.2
appling/unitted	v0.2.6
usgs-r/toxEval	v0.2.1
usgs-r/EGRETextra	v0.0.2
usgs-r/WQ-Review	1.2
usgs-r/restrend	v0.4.1
usgs-r/hydroMap	v0.1.3
usgs-r/SampleSplitting	v1.0.4
usgs-r/DVstats	v0.3.3
usgs-r/wateRuse	v1.0.2
usgs-r/wrv	v1.0.2
usgs-r/USGSmarkdowntemplates	v0.0.3
